Commitment_Amount_INR_Cr,Commitment_Letter__Conclusion,Current_Status,Date_of_first_meeting__call,Due_Diligence__Queries,FeelerTeaserLetter_Sent,Initial_Appraisal__Evaluation_process_started,Initial__Final_Drawdown,Investor_Type,Meetings__Detailed_DiscussionsIM_Sent,Notes,Organisation,Reference,Responsibility_TNIFMC,Status_Open__Closed,TNIFMC_Request_INR_Cr
0,False,,1681516800000,False,True,True,False,PSU Banks / PFIs,True,Presentation to President - JN,BOB,CFM,K. Ganapathy Subramanian,Closed / Deferred,25
0,False,,1706486400000,False,True,True,False,SWFs / MFIs / Pension Funds / FoFs,True,Met CGM Finance Venkateswaran and Manager Finance Thiru.KA Mohan,CPCL,Others,Satish S,Open,25
0,False,,1716854400000,False,True,True,False,Domestic Pension Funds / Insurance Companies/MFs,True,,FCDO,Propreitory,K. Ganapathy Subramanian,Open,300
0,False,,1703894400000,False,True,True,False,PSU Banks / PFIs,True,Met Aditya Mohan and Jaap on 7-11-2023,FMO,Propreitory,Satish S,Open,100
0,False,,1727740800000,False,True,True,False,SWFs / MFIs / Pension Funds / FoFs,True,,French Business Council,Propreitory,Satish S,Open,0
0,False,,1725148800000,False,True,True,False,SWFs / MFIs / Pension Funds / FoFs,True,,Global Emerging Markets Specialist Capital Pte Ltd,Propreitory,Krishna Chaitanya K,Open,80
0,False,,1725148800000,False,True,True,False,SWFs / MFIs / Pension Funds / FoFs,True,,Hinduja Family Office,Propreitory,Krishna Chaitanya K,Open,100
0,False,,1685577600000,False,True,True,False,Corporates,True,0,HUDCO,SKC,K. Ganapathy Subramanian,Closed / Deferred,50
0,False,,1685577600000,False,True,True,False,Corporates,True,Want to co-invest alongside TNIFMC's funds,IFC,Propreitory,Krishna Chaitanya K,Declined,0
0,False,,1685577600000,False,True,True,False,PSU Banks / PFIs,True,,IREDA,SBI Caps,Krishna Chaitanya K,Open,50
0,False,,1672531200000,False,True,True,False,Sponsors,True,,Karur Vysya Bank Ltd,Propreitory,K. Ganapathy Subramanian,Closed / Deferred,0
0,False,,1685577600000,False,True,True,False,Corporates,True,0,LIC of India,SKC,Krishna Chaitanya K,Open,200
0,False,,1685577600000,False,True,True,False,SWFs / MFIs / Pension Funds / FoFs,True,,Macquarie,Propreitory,Krishna Chaitanya K,Open,100
0,False,,1725148800000,False,True,True,False,SWFs / MFIs / Pension Funds / FoFs,True,,Mercury Capital Advisors,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1717200000000,False,True,True,False,Sponsors,True,0,NHB,Propreitory,K. Ganapathy Subramanian,Open,25
